#Nombre,Prioridad,direccion,lock,descanso
master_b_0,3,1024,0,16
master_b_1,4,0,1,16
master_nb_0,1,1024,1,16
master_nb_1,2,0,0,16
Tiempo,instruccion,Master,direccion,dato,lock,uso
1355000,WRITE,2,0,0,false,ACTIVE
1365000,READ,1,1028,0,true,ACTIVE
1375000,WRITE,1,1028,2,true,ACTIVE
1385000,READ,2,4,0,false,ACTIVE
1395000,WRITE,2,4,2,false,ACTIVE
1405000,READ,1,1032,2,true,ACTIVE
1415000,WRITE,1,1032,4,true,ACTIVE
1425000,READ,2,8,2,false,ACTIVE
1435000,WRITE,2,8,4,false,ACTIVE
1445000,READ,1,1036,4,true,ACTIVE
1455000,WRITE,1,1036,6,true,ACTIVE
1465000,READ,2,12,4,false,ACTIVE
1475000,WRITE,2,12,6,false,ACTIVE
1485000,READ,1,1040,6,true,ACTIVE
1495000,WRITE,1,1040,8,true,ACTIVE
1505000,READ,2,16,6,false,ACTIVE
1515000,WRITE,2,16,8,false,ACTIVE
1525000,READ,1,1044,8,true,ACTIVE
1535000,WRITE,1,1044,10,true,ACTIVE
1545000,READ,2,20,8,false,ACTIVE
1555000,WRITE,2,20,10,false,ACTIVE
1565000,READ,1,1048,10,true,ACTIVE
1575000,WRITE,1,1048,12,true,ACTIVE
1585000,READ,2,24,10,false,ACTIVE
1595000,WRITE,2,24,12,false,ACTIVE
1605000,READ,1,1052,12,true,ACTIVE
1615000,WRITE,1,1052,14,true,ACTIVE
1625000,READ,2,28,12,false,ACTIVE
1635000,WRITE,2,28,14,false,ACTIVE
1645000,READ,1,1056,14,true,ACTIVE
1655000,WRITE,1,1056,16,true,ACTIVE
1665000,READ,2,32,14,false,ACTIVE
1675000,WRITE,2,32,16,false,ACTIVE
1685000,READ,1,1060,16,true,ACTIVE
1695000,WRITE,1,1060,18,true,ACTIVE
1705000,READ,2,36,16,false,ACTIVE
1715000,WRITE,2,36,18,false,ACTIVE
1725000,READ,1,1064,18,true,ACTIVE
1735000,WRITE,1,1064,20,true,ACTIVE
1745000,READ,2,40,18,false,ACTIVE
1755000,WRITE,2,40,20,false,ACTIVE
1765000,READ,1,1068,20,true,ACTIVE
1775000,WRITE,1,1068,22,true,ACTIVE
1785000,READ,2,44,20,false,ACTIVE
1795000,WRITE,2,44,22,false,ACTIVE
1805000,READ,1,1072,22,true,ACTIVE
1815000,WRITE,1,1072,24,true,ACTIVE
1825000,READ,2,48,22,false,ACTIVE
1835000,WRITE,2,48,24,false,ACTIVE
1845000,READ,1,1076,24,true,ACTIVE
1855000,WRITE,1,1076,26,true,ACTIVE
1865000,READ,2,52,24,false,ACTIVE
1875000,WRITE,2,52,26,false,ACTIVE
1885000,READ,1,1080,26,true,ACTIVE
1895000,WRITE,1,1080,28,true,ACTIVE
1905000,READ,2,56,26,false,ACTIVE
1915000,WRITE,2,56,28,false,ACTIVE
1925000,READ,1,1084,28,true,ACTIVE
1935000,WRITE,1,1084,30,true,ACTIVE
1945000,READ,2,60,28,false,ACTIVE
1955000,WRITE,2,60,30,false,ACTIVE
1965000,READ,1,1088,30,true,ACTIVE
1975000,WRITE,1,1088,32,true,ACTIVE
1985000,READ,2,64,30,false,ACTIVE
