#Nombre,Prioridad,direccion,lock,descanso
master_b_0,3,0,1,8
master_b_1,2,1024,0,4
master_nb_0,4,0,1,16
master_nb_1,1,0,1,16
Tiempo,instruccion,Master,direccion,dato,lock,uso
5000,READ,1,0,0,true,ACTIVE
15000,WRITE,1,0,0,true,ACTIVE
25000,READ,2,1024,0,false,ACTIVE
35000,READ,2,1028,0,false,ACTIVE
45000,READ,1,4,0,true,ACTIVE
55000,WRITE,1,4,1,true,ACTIVE
65000,READ,2,1032,0,false,ACTIVE
75000,READ,2,1036,0,false,ACTIVE
85000,READ,1,8,1,true,ACTIVE
95000,WRITE,1,8,2,true,ACTIVE
105000,READ,2,1040,0,false,ACTIVE
115000,READ,2,1044,0,false,ACTIVE
125000,READ,1,12,2,true,ACTIVE
135000,WRITE,1,12,3,true,ACTIVE
145000,READ,2,1048,0,false,ACTIVE
155000,READ,2,1052,0,false,ACTIVE
165000,READ,1,16,3,true,ACTIVE
175000,WRITE,1,16,4,true,ACTIVE
185000,READ,2,1056,0,false,ACTIVE
195000,READ,2,1060,0,false,ACTIVE
205000,READ,1,20,4,true,ACTIVE
215000,WRITE,1,20,5,true,ACTIVE
225000,READ,2,1064,0,false,ACTIVE
235000,READ,2,1068,0,false,ACTIVE
245000,READ,1,24,5,true,ACTIVE
255000,WRITE,1,24,6,true,ACTIVE
265000,READ,2,1072,0,false,ACTIVE
275000,READ,2,1076,0,false,ACTIVE
285000,READ,1,28,6,true,ACTIVE
295000,WRITE,1,28,7,true,ACTIVE
305000,READ,2,1080,0,false,ACTIVE
315000,READ,2,1084,0,false,ACTIVE
325000,READ,1,32,7,true,ACTIVE
335000,WRITE,1,32,8,true,ACTIVE
345000,READ,3,0,0,false,ACTIVE
355000,READ,3,4,0,false,ACTIVE
365000,READ,1,36,8,true,ACTIVE
375000,WRITE,1,36,9,true,ACTIVE
385000,READ,3,8,0,false,ACTIVE
395000,READ,3,12,0,false,ACTIVE
405000,READ,1,40,9,true,ACTIVE
415000,WRITE,1,40,10,true,ACTIVE
425000,READ,3,16,0,false,ACTIVE
435000,READ,3,20,0,false,ACTIVE
445000,READ,1,44,10,true,ACTIVE
455000,WRITE,1,44,11,true,ACTIVE
465000,READ,3,24,0,false,ACTIVE
475000,READ,3,28,0,false,ACTIVE
485000,READ,1,48,11,true,ACTIVE
495000,WRITE,1,48,12,true,ACTIVE
505000,WRITE,2,1024,0,false,ACTIVE
515000,WRITE,2,1028,1,false,ACTIVE
525000,READ,1,52,12,true,ACTIVE
535000,WRITE,1,52,13,true,ACTIVE
545000,WRITE,2,1032,2,false,ACTIVE
555000,WRITE,2,1036,3,false,ACTIVE
565000,READ,1,56,13,true,ACTIVE
575000,WRITE,1,56,14,true,ACTIVE
585000,WRITE,2,1040,4,false,ACTIVE
595000,WRITE,2,1044,5,false,ACTIVE
605000,READ,1,60,14,true,ACTIVE
615000,WRITE,1,60,15,true,ACTIVE
625000,WRITE,2,1048,6,false,ACTIVE
635000,WRITE,2,1052,7,false,ACTIVE
645000,READ,1,64,15,true,ACTIVE
655000,WRITE,1,64,16,true,ACTIVE
665000,WRITE,2,1056,8,false,ACTIVE
675000,WRITE,2,1060,9,false,ACTIVE
685000,READ,1,68,16,true,ACTIVE
695000,WRITE,1,68,17,true,ACTIVE
705000,WRITE,2,1064,10,false,ACTIVE
715000,WRITE,2,1068,11,false,ACTIVE
725000,READ,1,72,17,true,ACTIVE
735000,WRITE,1,72,18,true,ACTIVE
745000,WRITE,2,1072,12,false,ACTIVE
755000,WRITE,2,1076,13,false,ACTIVE
765000,READ,1,76,18,true,ACTIVE
775000,WRITE,1,76,19,true,ACTIVE
785000,WRITE,2,1080,14,false,ACTIVE
795000,WRITE,2,1084,15,false,ACTIVE
805000,READ,1,80,19,true,ACTIVE
815000,WRITE,1,80,20,true,ACTIVE
825000,READ,2,1024,0,false,ACTIVE
835000,READ,2,1028,1,false,ACTIVE
845000,READ,1,84,20,true,ACTIVE
855000,WRITE,1,84,21,true,ACTIVE
865000,READ,2,1032,2,false,ACTIVE
875000,READ,2,1036,3,false,ACTIVE
885000,READ,1,88,21,true,ACTIVE
895000,WRITE,1,88,22,true,ACTIVE
905000,READ,2,1040,4,false,ACTIVE
915000,READ,2,1044,5,false,ACTIVE
925000,READ,1,92,22,true,ACTIVE
935000,WRITE,1,92,23,true,ACTIVE
945000,READ,2,1048,6,false,ACTIVE
955000,READ,2,1052,7,false,ACTIVE
965000,READ,1,96,23,true,ACTIVE
975000,WRITE,1,96,24,true,ACTIVE
985000,READ,2,1056,8,false,ACTIVE
995000,READ,2,1060,9,false,ACTIVE
1005000,READ,1,100,24,true,ACTIVE
1015000,WRITE,1,100,25,true,ACTIVE
1025000,READ,2,1064,10,false,ACTIVE
1035000,READ,2,1068,11,false,ACTIVE
1045000,READ,1,104,25,true,ACTIVE
1055000,WRITE,1,104,26,true,ACTIVE
1065000,READ,2,1072,12,false,ACTIVE
1075000,READ,2,1076,13,false,ACTIVE
1085000,READ,1,108,26,true,ACTIVE
1095000,WRITE,1,108,27,true,ACTIVE
1105000,READ,2,1080,14,false,ACTIVE
1115000,READ,2,1084,15,false,ACTIVE
1125000,READ,1,112,27,true,ACTIVE
1135000,WRITE,1,112,28,true,ACTIVE
1145000,READ,3,32,0,false,ACTIVE
1155000,READ,3,36,0,false,ACTIVE
1165000,READ,1,116,28,true,ACTIVE
1175000,WRITE,1,116,29,true,ACTIVE
1185000,READ,3,40,0,false,ACTIVE
1195000,READ,3,44,0,false,ACTIVE
1205000,READ,1,120,29,true,ACTIVE
1215000,WRITE,1,120,30,true,ACTIVE
1225000,READ,3,48,0,false,ACTIVE
1235000,READ,3,52,0,false,ACTIVE
1245000,READ,1,124,30,true,ACTIVE
1255000,WRITE,1,124,31,true,ACTIVE
1265000,READ,3,56,0,false,ACTIVE
1275000,READ,3,60,0,false,ACTIVE
1285000,READ,1,128,31,true,ACTIVE
1295000,WRITE,1,128,32,true,ACTIVE
1305000,WRITE,2,1024,0,false,ACTIVE
1315000,WRITE,2,1028,2,false,ACTIVE
1325000,READ,1,0,32,true,ACTIVE
1335000,WRITE,1,0,0,true,ACTIVE
1345000,WRITE,2,1032,4,false,ACTIVE
1355000,WRITE,2,1036,6,false,ACTIVE
1365000,READ,1,4,0,true,ACTIVE
1375000,WRITE,1,4,2,true,ACTIVE
1385000,WRITE,2,1040,8,false,ACTIVE
1395000,WRITE,2,1044,10,false,ACTIVE
1405000,READ,1,8,2,true,ACTIVE
1415000,WRITE,1,8,4,true,ACTIVE
1425000,WRITE,2,1048,12,false,ACTIVE
1435000,WRITE,2,1052,14,false,ACTIVE
1445000,READ,1,12,4,true,ACTIVE
1455000,WRITE,1,12,6,true,ACTIVE
1465000,WRITE,2,1056,16,false,ACTIVE
1475000,WRITE,2,1060,18,false,ACTIVE
1485000,READ,1,16,6,true,ACTIVE
1495000,WRITE,1,16,8,true,ACTIVE
1505000,WRITE,2,1064,20,false,ACTIVE
1515000,WRITE,2,1068,22,false,ACTIVE
1525000,READ,1,20,8,true,ACTIVE
1535000,WRITE,1,20,10,true,ACTIVE
1545000,WRITE,2,1072,24,false,ACTIVE
1555000,WRITE,2,1076,26,false,ACTIVE
1565000,READ,1,24,10,true,ACTIVE
1575000,WRITE,1,24,12,true,ACTIVE
1585000,WRITE,2,1080,28,false,ACTIVE
1595000,WRITE,2,1084,30,false,ACTIVE
1605000,READ,1,28,12,true,ACTIVE
1615000,WRITE,1,28,14,true,ACTIVE
1625000,READ,2,1024,0,false,ACTIVE
1635000,READ,2,1028,2,false,ACTIVE
1645000,READ,1,32,14,true,ACTIVE
1655000,WRITE,1,32,16,true,ACTIVE
1665000,READ,2,1032,4,false,ACTIVE
1675000,READ,2,1036,6,false,ACTIVE
1685000,READ,1,36,16,true,ACTIVE
1695000,WRITE,1,36,18,true,ACTIVE
1705000,READ,2,1040,8,false,ACTIVE
1715000,READ,2,1044,10,false,ACTIVE
1725000,READ,1,40,18,true,ACTIVE
1735000,WRITE,1,40,20,true,ACTIVE
1745000,READ,2,1048,12,false,ACTIVE
1755000,READ,2,1052,14,false,ACTIVE
1765000,READ,1,44,20,true,ACTIVE
1775000,WRITE,1,44,22,true,ACTIVE
1785000,READ,2,1056,16,false,ACTIVE
1795000,READ,2,1060,18,false,ACTIVE
1805000,READ,1,48,22,true,ACTIVE
1815000,WRITE,1,48,24,true,ACTIVE
1825000,READ,2,1064,20,false,ACTIVE
1835000,READ,2,1068,22,false,ACTIVE
1845000,READ,1,52,24,true,ACTIVE
1855000,WRITE,1,52,26,true,ACTIVE
1865000,READ,2,1072,24,false,ACTIVE
1875000,READ,2,1076,26,false,ACTIVE
1885000,READ,1,56,26,true,ACTIVE
1895000,WRITE,1,56,28,true,ACTIVE
1905000,READ,2,1080,28,false,ACTIVE
1915000,READ,2,1084,30,false,ACTIVE
1925000,READ,1,60,28,true,ACTIVE
1935000,WRITE,1,60,30,true,ACTIVE
1945000,WRITE,3,0,0,false,ACTIVE
1955000,WRITE,3,4,2,false,ACTIVE
1965000,READ,1,64,30,true,ACTIVE
1975000,WRITE,1,64,32,true,ACTIVE
1985000,WRITE,3,8,4,false,ACTIVE
1995000,WRITE,3,12,6,false,ACTIVE
2005000,READ,1,68,32,true,ACTIVE
2015000,WRITE,1,68,34,true,ACTIVE
2025000,WRITE,3,16,8,false,ACTIVE
2035000,WRITE,3,20,10,false,ACTIVE
2045000,READ,1,72,34,true,ACTIVE
2055000,WRITE,1,72,36,true,ACTIVE
2065000,WRITE,3,24,12,false,ACTIVE
2075000,WRITE,3,28,14,false,ACTIVE
2085000,READ,1,76,36,true,ACTIVE
2095000,WRITE,1,76,38,true,ACTIVE
2105000,WRITE,2,1024,0,false,ACTIVE
2115000,WRITE,2,1028,3,false,ACTIVE
2125000,READ,1,80,38,true,ACTIVE
2135000,WRITE,1,80,40,true,ACTIVE
2145000,WRITE,2,1032,6,false,ACTIVE
2155000,WRITE,2,1036,9,false,ACTIVE
2165000,READ,1,84,40,true,ACTIVE
2175000,WRITE,1,84,42,true,ACTIVE
2185000,WRITE,2,1040,12,false,ACTIVE
2195000,WRITE,2,1044,15,false,ACTIVE
2205000,READ,1,88,42,true,ACTIVE
2215000,WRITE,1,88,44,true,ACTIVE
2225000,WRITE,2,1048,18,false,ACTIVE
2235000,WRITE,2,1052,21,false,ACTIVE
2245000,READ,1,92,44,true,ACTIVE
2255000,WRITE,1,92,46,true,ACTIVE
2265000,WRITE,2,1056,24,false,ACTIVE
