#Nombre,Prioridad,direccion,lock,descanso
master_b_0,4,1024,0,16
master_b_1,2,0,0,32
master_nb_0,3,0,1,16
master_nb_1,1,0,1,4
Tiempo,instruccion,Master,direccion,dato,lock,uso
5000,READ,1,0,0,true,ACTIVE
15000,WRITE,1,0,0,true,ACTIVE
25000,READ,2,0,0,false,ACTIVE
35000,READ,1,4,0,true,ACTIVE
45000,WRITE,1,4,1,true,ACTIVE
55000,READ,2,4,0,false,ACTIVE
65000,READ,1,8,1,true,ACTIVE
75000,WRITE,1,8,2,true,ACTIVE
85000,READ,2,8,0,false,ACTIVE
95000,READ,1,12,2,true,ACTIVE
105000,WRITE,1,12,3,true,ACTIVE
115000,READ,2,12,0,false,ACTIVE
125000,READ,1,16,3,true,ACTIVE
135000,WRITE,1,16,4,true,ACTIVE
145000,READ,2,16,0,false,ACTIVE
155000,READ,1,20,4,true,ACTIVE
165000,WRITE,1,20,5,true,ACTIVE
175000,READ,2,20,0,false,ACTIVE
185000,READ,1,24,5,true,ACTIVE
195000,WRITE,1,24,6,true,ACTIVE
205000,READ,2,24,0,false,ACTIVE
215000,READ,1,28,6,true,ACTIVE
225000,WRITE,1,28,7,true,ACTIVE
235000,READ,2,28,0,false,ACTIVE
245000,READ,1,32,7,true,ACTIVE
255000,WRITE,1,32,8,true,ACTIVE
265000,READ,2,32,0,false,ACTIVE
275000,READ,1,36,8,true,ACTIVE
285000,WRITE,1,36,9,true,ACTIVE
295000,READ,2,36,0,false,ACTIVE
305000,READ,1,40,9,true,ACTIVE
315000,WRITE,1,40,10,true,ACTIVE
325000,READ,2,40,0,false,ACTIVE
335000,READ,1,44,10,true,ACTIVE
345000,WRITE,1,44,11,true,ACTIVE
355000,READ,2,44,0,false,ACTIVE
365000,READ,1,48,11,true,ACTIVE
375000,WRITE,1,48,12,true,ACTIVE
385000,READ,2,48,0,false,ACTIVE
395000,READ,1,52,12,true,ACTIVE
405000,WRITE,1,52,13,true,ACTIVE
415000,READ,2,52,0,false,ACTIVE
425000,READ,1,56,13,true,ACTIVE
435000,WRITE,1,56,14,true,ACTIVE
445000,READ,2,56,0,false,ACTIVE
455000,READ,1,60,14,true,ACTIVE
465000,WRITE,1,60,15,true,ACTIVE
475000,READ,2,60,0,false,ACTIVE
485000,READ,1,64,15,true,ACTIVE
495000,WRITE,1,64,16,true,ACTIVE
505000,READ,3,0,0,false,ACTIVE
515000,READ,1,68,16,true,ACTIVE
525000,WRITE,1,68,17,true,ACTIVE
535000,WRITE,3,0,0,false,ACTIVE
545000,READ,1,72,17,true,ACTIVE
555000,WRITE,1,72,18,true,ACTIVE
565000,READ,3,4,0,true,ACTIVE
575000,WRITE,3,4,2,true,ACTIVE
585000,READ,1,76,18,false,ACTIVE
595000,WRITE,1,76,19,true,ACTIVE
605000,READ,3,8,2,true,ACTIVE
615000,WRITE,3,8,4,true,ACTIVE
625000,READ,1,80,19,false,ACTIVE
635000,WRITE,1,80,20,true,ACTIVE
645000,WRITE,2,0,0,false,ACTIVE
655000,READ,1,84,20,true,ACTIVE
665000,WRITE,1,84,21,true,ACTIVE
675000,WRITE,2,4,2,false,ACTIVE
685000,READ,1,88,21,true,ACTIVE
695000,WRITE,1,88,22,true,ACTIVE
705000,WRITE,2,8,4,false,ACTIVE
715000,READ,1,92,22,true,ACTIVE
725000,WRITE,1,92,23,true,ACTIVE
735000,WRITE,2,12,6,false,ACTIVE
745000,READ,1,96,23,true,ACTIVE
755000,WRITE,1,96,24,true,ACTIVE
765000,WRITE,2,16,8,false,ACTIVE
775000,READ,1,100,24,true,ACTIVE
785000,WRITE,1,100,25,true,ACTIVE
795000,WRITE,2,20,10,false,ACTIVE
805000,READ,1,104,25,true,ACTIVE
815000,WRITE,1,104,26,true,ACTIVE
825000,WRITE,2,24,12,false,ACTIVE
835000,READ,1,108,26,true,ACTIVE
845000,WRITE,1,108,27,true,ACTIVE
855000,WRITE,2,28,14,false,ACTIVE
865000,READ,1,112,27,true,ACTIVE
875000,WRITE,1,112,28,true,ACTIVE
885000,WRITE,2,32,16,false,ACTIVE
895000,READ,1,116,28,true,ACTIVE
905000,WRITE,1,116,29,true,ACTIVE
915000,WRITE,2,36,18,false,ACTIVE
925000,READ,1,120,29,true,ACTIVE
935000,WRITE,1,120,30,true,ACTIVE
945000,WRITE,2,40,20,false,ACTIVE
955000,READ,1,124,30,true,ACTIVE
965000,WRITE,1,124,31,true,ACTIVE
975000,WRITE,2,44,22,false,ACTIVE
985000,READ,1,128,31,true,ACTIVE
995000,WRITE,1,128,32,true,ACTIVE
1005000,WRITE,2,48,24,false,ACTIVE
1015000,READ,1,0,32,true,ACTIVE
1025000,WRITE,1,0,0,true,ACTIVE
1035000,WRITE,2,52,26,false,ACTIVE
1045000,READ,1,4,0,true,ACTIVE
1055000,WRITE,1,4,3,true,ACTIVE
1065000,WRITE,2,56,28,false,ACTIVE
1075000,READ,1,8,3,true,ACTIVE
1085000,WRITE,1,8,6,true,ACTIVE
1095000,WRITE,2,60,30,false,ACTIVE
1105000,READ,1,12,6,true,ACTIVE
1115000,WRITE,1,12,9,true,ACTIVE
1125000,READ,3,12,4,false,ACTIVE
1135000,READ,1,16,9,true,ACTIVE
1145000,WRITE,1,16,12,true,ACTIVE
1155000,READ,2,0,0,false,ACTIVE
1165000,READ,1,20,12,true,ACTIVE
1175000,WRITE,1,20,15,true,ACTIVE
1185000,READ,2,4,2,false,ACTIVE
1195000,READ,1,24,15,true,ACTIVE
1205000,WRITE,1,24,18,true,ACTIVE
1215000,READ,2,8,4,false,ACTIVE
1225000,READ,1,28,18,true,ACTIVE
1235000,WRITE,1,28,21,true,ACTIVE
1245000,READ,2,12,6,false,ACTIVE
1255000,READ,1,32,21,true,ACTIVE
1265000,WRITE,1,32,24,true,ACTIVE
1275000,READ,2,16,8,false,ACTIVE
1285000,READ,1,36,24,true,ACTIVE
1295000,WRITE,1,36,27,true,ACTIVE
1305000,READ,2,20,10,false,ACTIVE
1315000,READ,1,40,27,true,ACTIVE
1325000,WRITE,1,40,30,true,ACTIVE
1335000,READ,2,24,12,false,ACTIVE
1345000,READ,1,44,30,true,ACTIVE
1355000,WRITE,1,44,33,true,ACTIVE
1365000,READ,2,28,14,false,ACTIVE
1375000,READ,1,48,33,true,ACTIVE
1385000,WRITE,1,48,36,true,ACTIVE
1395000,READ,2,32,16,false,ACTIVE
1405000,READ,1,52,36,true,ACTIVE
1415000,WRITE,1,52,39,true,ACTIVE
1425000,READ,2,36,18,false,ACTIVE
1435000,READ,1,56,39,true,ACTIVE
1445000,WRITE,1,56,42,true,ACTIVE
1455000,READ,2,40,20,false,ACTIVE
1465000,READ,1,60,42,true,ACTIVE
1475000,WRITE,1,60,45,true,ACTIVE
1485000,READ,2,44,22,false,ACTIVE
1495000,READ,1,64,45,true,ACTIVE
1505000,WRITE,1,64,32,true,ACTIVE
1515000,READ,2,48,24,false,ACTIVE
1525000,READ,1,68,32,true,ACTIVE
1535000,WRITE,1,68,34,true,ACTIVE
1545000,READ,2,52,26,false,ACTIVE
1555000,READ,1,72,34,true,ACTIVE
1565000,WRITE,1,72,36,true,ACTIVE
1575000,READ,2,56,28,false,ACTIVE
1585000,READ,1,76,36,true,ACTIVE
1595000,WRITE,1,76,38,true,ACTIVE
1605000,READ,2,60,30,false,ACTIVE
1615000,READ,1,80,38,true,ACTIVE
1625000,WRITE,1,80,40,true,ACTIVE
1635000,WRITE,3,12,12,false,ACTIVE
1645000,READ,1,84,40,true,ACTIVE
1655000,WRITE,1,84,42,true,ACTIVE
1665000,READ,3,16,12,true,ACTIVE
1675000,WRITE,3,16,16,true,ACTIVE
1685000,READ,1,88,42,false,ACTIVE
1695000,WRITE,1,88,44,true,ACTIVE
1705000,READ,3,20,16,true,ACTIVE
1715000,WRITE,3,20,20,true,ACTIVE
1725000,READ,1,92,44,false,ACTIVE
1735000,WRITE,1,92,46,true,ACTIVE
1745000,READ,3,24,20,true,ACTIVE
1755000,WRITE,3,24,24,true,ACTIVE
1765000,READ,1,96,46,false,ACTIVE
1775000,WRITE,1,96,48,true,ACTIVE
1785000,WRITE,2,0,0,false,ACTIVE
1795000,READ,1,100,48,true,ACTIVE
1805000,WRITE,1,100,50,true,ACTIVE
1815000,WRITE,2,4,4,false,ACTIVE
1825000,READ,1,104,50,true,ACTIVE
1835000,WRITE,1,104,52,true,ACTIVE
1845000,WRITE,2,8,8,false,ACTIVE
1855000,READ,1,108,52,true,ACTIVE
1865000,WRITE,1,108,54,true,ACTIVE
1875000,WRITE,2,12,12,false,ACTIVE
1885000,READ,1,112,54,true,ACTIVE
1895000,WRITE,1,112,56,true,ACTIVE
1905000,WRITE,2,16,16,false,ACTIVE
1915000,READ,1,116,56,true,ACTIVE
1925000,WRITE,1,116,58,true,ACTIVE
1935000,WRITE,2,20,20,false,ACTIVE
1945000,READ,1,120,58,true,ACTIVE
1955000,WRITE,1,120,60,true,ACTIVE
1965000,WRITE,2,24,24,false,ACTIVE
1975000,READ,1,124,60,true,ACTIVE
1985000,WRITE,1,124,62,true,ACTIVE
1995000,WRITE,2,28,28,false,ACTIVE
2005000,READ,1,128,62,true,ACTIVE
2015000,WRITE,1,128,64,true,ACTIVE
2025000,WRITE,2,32,32,false,ACTIVE
2035000,READ,1,0,64,true,ACTIVE
2045000,WRITE,1,0,0,true,ACTIVE
2055000,WRITE,2,36,36,false,ACTIVE
2065000,READ,1,4,0,true,ACTIVE
2075000,WRITE,1,4,5,true,ACTIVE
2085000,WRITE,2,40,40,false,ACTIVE
2095000,READ,1,8,5,true,ACTIVE
2105000,WRITE,1,8,10,true,ACTIVE
2115000,WRITE,2,44,44,false,ACTIVE
2125000,READ,1,12,10,true,ACTIVE
2135000,WRITE,1,12,15,true,ACTIVE
2145000,WRITE,2,48,48,false,ACTIVE
2155000,READ,1,16,15,true,ACTIVE
2165000,WRITE,1,16,20,true,ACTIVE
2175000,WRITE,2,52,52,false,ACTIVE
2185000,READ,1,20,20,true,ACTIVE
2195000,WRITE,1,20,25,true,ACTIVE
2205000,WRITE,2,56,56,false,ACTIVE
2215000,READ,1,24,25,true,ACTIVE
2225000,WRITE,1,24,30,true,ACTIVE
2235000,WRITE,2,60,60,false,ACTIVE
2245000,READ,1,28,30,true,ACTIVE
2255000,WRITE,1,28,35,true,ACTIVE
2265000,READ,3,28,24,false,ACTIVE
2275000,READ,1,32,35,true,ACTIVE
2285000,WRITE,1,32,40,true,ACTIVE
2295000,READ,2,0,0,false,ACTIVE
