#Nombre,Prioridad,direccion,lock,descanso
master_b_0,1,1024,0,4
master_b_1,4,1024,0,4
master_nb_0,2,1024,1,8
master_nb_1,3,0,0,32
Tiempo,instruccion,Master,direccion,dato,lock,uso
5000,READ,1,1024,0,false,ACTIVE
15000,READ,1,1028,0,false,ACTIVE
25000,READ,1,1032,0,false,ACTIVE
35000,READ,1,1036,0,false,ACTIVE
45000,READ,1,1040,0,false,ACTIVE
55000,READ,1,1044,0,false,ACTIVE
65000,READ,1,1048,0,false,ACTIVE
75000,READ,1,1052,0,false,ACTIVE
85000,READ,1,1056,0,false,ACTIVE
95000,READ,1,1060,0,false,ACTIVE
105000,READ,1,1064,0,false,ACTIVE
115000,READ,1,1068,0,false,ACTIVE
125000,READ,1,1072,0,false,ACTIVE
135000,READ,1,1076,0,false,ACTIVE
145000,READ,1,1080,0,false,ACTIVE
155000,READ,1,1084,0,false,ACTIVE
165000,READ,2,1024,0,false,ACTIVE
175000,WRITE,2,1024,0,true,ACTIVE
185000,READ,3,0,0,false,ACTIVE
195000,READ,2,1028,0,true,ACTIVE
205000,WRITE,2,1028,1,true,ACTIVE
215000,WRITE,3,0,0,false,ACTIVE
225000,READ,2,1032,1,true,ACTIVE
235000,WRITE,2,1032,2,true,ACTIVE
245000,READ,4,1024,0,false,ACTIVE
255000,READ,2,1036,2,true,ACTIVE
265000,WRITE,2,1036,3,true,ACTIVE
275000,READ,3,4,0,false,ACTIVE
285000,READ,2,1040,3,true,ACTIVE
295000,WRITE,2,1040,4,true,ACTIVE
305000,WRITE,3,4,1,false,ACTIVE
315000,READ,2,1044,4,true,ACTIVE
325000,WRITE,2,1044,5,true,ACTIVE
335000,WRITE,1,1024,0,false,ACTIVE
345000,WRITE,1,1028,1,false,ACTIVE
355000,WRITE,1,1032,2,false,ACTIVE
365000,WRITE,1,1036,3,false,ACTIVE
375000,WRITE,1,1040,4,false,ACTIVE
385000,WRITE,1,1044,5,false,ACTIVE
395000,WRITE,1,1048,6,false,ACTIVE
405000,WRITE,1,1052,7,false,ACTIVE
415000,WRITE,1,1056,8,false,ACTIVE
425000,WRITE,1,1060,9,false,ACTIVE
435000,WRITE,1,1064,10,false,ACTIVE
445000,WRITE,1,1068,11,false,ACTIVE
455000,WRITE,1,1072,12,false,ACTIVE
465000,WRITE,1,1076,13,false,ACTIVE
475000,WRITE,1,1080,14,false,ACTIVE
485000,WRITE,1,1084,15,false,ACTIVE
495000,READ,2,1048,5,false,ACTIVE
505000,READ,1,1024,0,false,ACTIVE
515000,READ,1,1028,1,false,ACTIVE
525000,READ,1,1032,2,false,ACTIVE
535000,READ,1,1036,3,false,ACTIVE
545000,READ,1,1040,4,false,ACTIVE
555000,READ,1,1044,5,false,ACTIVE
565000,READ,1,1048,6,false,ACTIVE
575000,READ,1,1052,7,false,ACTIVE
585000,READ,1,1056,8,false,ACTIVE
595000,READ,1,1060,9,false,ACTIVE
605000,READ,1,1064,10,false,ACTIVE
615000,READ,1,1068,11,false,ACTIVE
625000,READ,1,1072,12,false,ACTIVE
635000,READ,1,1076,13,false,ACTIVE
645000,READ,1,1080,14,false,ACTIVE
655000,READ,1,1084,15,false,ACTIVE
