#Nombre,Prioridad,direccion,lock,descanso
master_b_0,1,0,1,32
master_b_1,4,0,1,16
master_nb_0,2,1024,0,4
master_nb_1,3,1024,0,4
Tiempo,instruccion,Master,direccion,dato,lock,uso
5000,READ,1,0,0,true,ACTIVE
15000,READ,1,4,0,true,ACTIVE
25000,READ,1,8,0,false,ACTIVE
35000,READ,1,12,0,false,ACTIVE
45000,READ,1,16,0,false,ACTIVE
55000,READ,1,20,0,false,ACTIVE
65000,READ,1,24,0,false,ACTIVE
75000,READ,1,28,0,false,ACTIVE
85000,READ,1,32,0,false,ACTIVE
95000,READ,1,36,0,false,ACTIVE
105000,READ,1,40,0,false,ACTIVE
115000,READ,1,44,0,false,ACTIVE
125000,READ,1,48,0,false,ACTIVE
135000,READ,1,52,0,false,ACTIVE
145000,READ,1,56,0,false,ACTIVE
155000,READ,1,60,0,false,ACTIVE
165000,READ,2,1024,0,false,ACTIVE
175000,WRITE,2,1024,0,false,ACTIVE
185000,READ,3,1024,0,false,ACTIVE
195000,READ,2,1028,0,false,ACTIVE
205000,WRITE,2,1028,1,false,ACTIVE
215000,WRITE,3,1024,0,false,ACTIVE
225000,READ,2,1032,1,false,ACTIVE
235000,WRITE,2,1032,2,false,ACTIVE
245000,READ,3,1028,0,false,ACTIVE
255000,READ,2,1036,2,false,ACTIVE
265000,WRITE,2,1036,3,false,ACTIVE
275000,WRITE,3,1028,2,false,ACTIVE
285000,READ,2,1040,3,false,ACTIVE
295000,WRITE,2,1040,4,false,ACTIVE
305000,READ,3,1032,2,false,ACTIVE
315000,READ,2,1044,4,false,ACTIVE
325000,WRITE,1,0,0,true,ACTIVE
335000,WRITE,1,4,1,true,ACTIVE
345000,WRITE,1,8,2,false,ACTIVE
355000,WRITE,1,12,3,false,ACTIVE
365000,WRITE,1,16,4,false,ACTIVE
375000,WRITE,1,20,5,false,ACTIVE
385000,WRITE,1,24,6,false,ACTIVE
395000,WRITE,1,28,7,false,ACTIVE
405000,WRITE,1,32,8,false,ACTIVE
415000,WRITE,1,36,9,false,ACTIVE
425000,WRITE,1,40,10,false,ACTIVE
435000,WRITE,1,44,11,false,ACTIVE
445000,WRITE,1,48,12,false,ACTIVE
455000,WRITE,1,52,13,false,ACTIVE
465000,WRITE,1,56,14,false,ACTIVE
475000,WRITE,1,60,15,false,ACTIVE
485000,WRITE,2,1044,5,false,ACTIVE
495000,WRITE,3,1032,4,false,ACTIVE
505000,READ,2,1048,5,false,ACTIVE
515000,WRITE,2,1048,6,false,ACTIVE
525000,READ,1,0,0,true,ACTIVE
535000,READ,1,4,1,true,ACTIVE
545000,READ,1,8,2,false,ACTIVE
555000,READ,1,12,3,false,ACTIVE
565000,READ,1,16,4,false,ACTIVE
575000,READ,1,20,5,false,ACTIVE
585000,READ,1,24,6,false,ACTIVE
595000,READ,1,28,7,false,ACTIVE
605000,READ,1,32,8,false,ACTIVE
615000,READ,1,36,9,false,ACTIVE
625000,READ,1,40,10,false,ACTIVE
635000,READ,1,44,11,false,ACTIVE
645000,READ,1,48,12,false,ACTIVE
655000,READ,1,52,13,false,ACTIVE
665000,READ,1,56,14,false,ACTIVE
675000,READ,1,60,15,false,ACTIVE
685000,READ,2,1052,6,false,ACTIVE
695000,WRITE,2,1052,7,false,ACTIVE
705000,READ,3,1036,4,false,ACTIVE
715000,READ,2,1056,7,false,ACTIVE
725000,WRITE,2,1056,8,false,ACTIVE
735000,WRITE,3,1036,6,false,ACTIVE
745000,READ,2,1060,8,false,ACTIVE
755000,WRITE,2,1060,9,false,ACTIVE
765000,READ,3,1040,6,false,ACTIVE
775000,READ,2,1064,9,false,ACTIVE
785000,WRITE,2,1064,10,false,ACTIVE
795000,WRITE,3,1040,8,false,ACTIVE
805000,READ,2,1068,10,false,ACTIVE
815000,WRITE,2,1068,11,false,ACTIVE
825000,READ,3,1044,8,false,ACTIVE
835000,READ,2,1072,11,false,ACTIVE
845000,WRITE,1,0,0,true,ACTIVE
855000,WRITE,1,4,2,true,ACTIVE
865000,WRITE,1,8,4,false,ACTIVE
875000,WRITE,1,12,6,false,ACTIVE
885000,WRITE,1,16,8,false,ACTIVE
895000,WRITE,1,20,10,false,ACTIVE
905000,WRITE,1,24,12,false,ACTIVE
915000,WRITE,1,28,14,false,ACTIVE
925000,WRITE,1,32,16,false,ACTIVE
935000,WRITE,1,36,18,false,ACTIVE
