#Nombre,Prioridad,direccion,lock,descanso
master_b_0,4,0,1,8
master_b_1,2,1024,1,4
master_nb_0,3,0,1,8
master_nb_1,1,0,0,8
Tiempo,instruccion,Master,direccion,dato,lock,uso
5000,READ,1,0,0,false,ACTIVE
15000,WRITE,1,0,0,false,ACTIVE
25000,READ,2,1024,0,false,ACTIVE
35000,READ,1,4,0,false,ACTIVE
45000,WRITE,1,4,1,false,ACTIVE
55000,READ,2,1028,0,false,ACTIVE
65000,READ,1,8,1,false,ACTIVE
75000,WRITE,1,8,2,false,ACTIVE
85000,READ,2,1032,0,false,ACTIVE
95000,READ,1,12,2,false,ACTIVE
105000,WRITE,1,12,3,false,ACTIVE
115000,READ,2,1036,0,false,ACTIVE
125000,READ,1,16,3,false,ACTIVE
135000,WRITE,1,16,4,false,ACTIVE
145000,READ,2,1040,0,false,ACTIVE
155000,READ,1,20,4,false,ACTIVE
165000,WRITE,1,20,5,false,ACTIVE
175000,READ,2,1044,0,false,ACTIVE
185000,READ,1,24,5,false,ACTIVE
195000,WRITE,1,24,6,false,ACTIVE
205000,READ,2,1048,0,false,ACTIVE
215000,READ,1,28,6,false,ACTIVE
225000,WRITE,1,28,7,false,ACTIVE
235000,READ,2,1052,0,false,ACTIVE
245000,READ,1,32,7,false,ACTIVE
255000,WRITE,1,32,8,false,ACTIVE
265000,READ,2,1056,0,false,ACTIVE
275000,READ,1,36,8,false,ACTIVE
285000,WRITE,1,36,9,false,ACTIVE
295000,READ,2,1060,0,false,ACTIVE
305000,READ,1,40,9,false,ACTIVE
315000,WRITE,1,40,10,false,ACTIVE
325000,READ,2,1064,0,false,ACTIVE
335000,READ,1,44,10,false,ACTIVE
345000,WRITE,1,44,11,false,ACTIVE
355000,READ,2,1068,0,false,ACTIVE
365000,READ,1,48,11,false,ACTIVE
375000,WRITE,1,48,12,false,ACTIVE
385000,READ,2,1072,0,false,ACTIVE
395000,READ,1,52,12,false,ACTIVE
405000,WRITE,1,52,13,false,ACTIVE
415000,READ,2,1076,0,false,ACTIVE
425000,READ,1,56,13,false,ACTIVE
435000,WRITE,1,56,14,false,ACTIVE
445000,READ,2,1080,0,false,ACTIVE
455000,READ,1,60,14,false,ACTIVE
465000,WRITE,1,60,15,false,ACTIVE
475000,READ,2,1084,0,false,ACTIVE
485000,READ,1,64,15,false,ACTIVE
495000,WRITE,1,64,16,false,ACTIVE
505000,READ,3,0,0,false,ACTIVE
515000,READ,1,68,16,false,ACTIVE
525000,WRITE,1,68,17,false,ACTIVE
535000,WRITE,3,0,0,false,ACTIVE
545000,READ,1,72,17,false,ACTIVE
555000,WRITE,1,72,18,false,ACTIVE
565000,READ,3,4,0,false,ACTIVE
575000,READ,1,76,18,false,ACTIVE
585000,WRITE,1,76,19,false,ACTIVE
595000,WRITE,3,4,2,false,ACTIVE
605000,READ,1,80,19,false,ACTIVE
615000,WRITE,1,80,20,false,ACTIVE
625000,READ,3,8,2,false,ACTIVE
635000,READ,1,84,20,false,ACTIVE
645000,WRITE,1,84,21,false,ACTIVE
655000,WRITE,2,1024,0,false,ACTIVE
665000,READ,1,88,21,false,ACTIVE
675000,WRITE,1,88,22,false,ACTIVE
